uid HMR VR rep update efficiency
HMR0.1_11 HMR0.1 VR0.1 11 5200 0.996407
HMR0.1_11 HMR0.1 VR0.1 11 5300 0.996324
HMR0.1_11 HMR0.1 VR0.1 11 5400 0.996276
HMR0.1_11 HMR0.1 VR0.1 11 5500 0.996233
HMR0.1_11 HMR0.1 VR0.1 11 5600 0.996321
HMR0.1_11 HMR0.1 VR0.1 11 5700 0.99624
HMR0.1_11 HMR0.1 VR0.1 11 5800 0.99614
HMR0.1_11 HMR0.1 VR0.1 11 5900 0.996086
HMR0.1_11 HMR0.1 VR0.1 11 6000 0.995931
HMR0.1_11 HMR0.1 VR0.1 11 6100 0.995857
HMR0.1_11 HMR0.1 VR0.1 11 6200 0.995827
HMR0.1_11 HMR0.1 VR0.1 11 6300 0.995817
HMR0.1_11 HMR0.1 VR0.1 11 6400 0.995757
HMR0.1_11 HMR0.1 VR0.1 11 6500 0.995652
HMR0.1_11 HMR0.1 VR0.1 11 6600 0.995821
HMR0.1_11 HMR0.1 VR0.1 11 6700 0.995809
HMR0.1_11 HMR0.1 VR0.1 11 6800 0.995801
HMR0.1_11 HMR0.1 VR0.1 11 6900 0.995805
HMR0.1_11 HMR0.1 VR0.1 11 7000 0.995855
HMR0.1_11 HMR0.1 VR0.1 11 7100 0.995818
HMR0.1_11 HMR0.1 VR0.1 11 7200 0.995803
HMR0.1_11 HMR0.1 VR0.1 11 7300 0.995697
HMR0.1_11 HMR0.1 VR0.1 11 7400 0.995684
HMR0.1_11 HMR0.1 VR0.1 11 7500 0.995643
HMR0.1_11 HMR0.1 VR0.1 11 7600 0.995637
HMR0.1_11 HMR0.1 VR0.1 11 7700 0.995596
HMR0.1_11 HMR0.1 VR0.1 11 7800 0.995633
HMR0.1_11 HMR0.1 VR0.1 11 7900 0.995673
HMR0.1_11 HMR0.1 VR0.1 11 8000 0.995613
HMR0.1_11 HMR0.1 VR0.1 11 8100 0.995432
HMR0.1_11 HMR0.1 VR0.1 11 8200 0.995561
HMR0.1_11 HMR0.1 VR0.1 11 8300 0.995649
HMR0.1_11 HMR0.1 VR0.1 11 8400 0.995538
HMR0.1_11 HMR0.1 VR0.1 11 8500 0.995526
HMR0.1_11 HMR0.1 VR0.1 11 8600 0.995347
HMR0.1_11 HMR0.1 VR0.1 11 8700 0.995381
HMR0.1_11 HMR0.1 VR0.1 11 8800 0.995309
HMR0.1_11 HMR0.1 VR0.1 11 8900 0.995262
HMR0.1_11 HMR0.1 VR0.1 11 9000 0.995143
HMR0.1_11 HMR0.1 VR0.1 11 9100 0.995269
HMR0.1_11 HMR0.1 VR0.1 11 9200 0.995406
HMR0.1_11 HMR0.1 VR0.1 11 9300 0.995471
HMR0.1_11 HMR0.1 VR0.1 11 9400 0.995563
HMR0.1_11 HMR0.1 VR0.1 11 9500 0.99562
HMR0.1_11 HMR0.1 VR0.1 11 9600 0.995646
HMR0.1_11 HMR0.1 VR0.1 11 9700 0.995603
HMR0.1_11 HMR0.1 VR0.1 11 9800 0.995663
HMR0.1_11 HMR0.1 VR0.1 11 9900 0.99563
HMR0.1_11 HMR0.1 VR0.1 11 10000 0.995577
HMR0.1_12 HMR0.1 VR0.1 12 0 1
HMR0.1_12 HMR0.1 VR0.1 12 100 0.999752
HMR0.1_12 HMR0.1 VR0.1 12 200 0.999564
HMR0.1_12 HMR0.1 VR0.1 12 300 0.999384
HMR0.1_12 HMR0.1 VR0.1 12 400 0.999232
HMR0.1_12 HMR0.1 VR0.1 12 500 0.999074
HMR0.1_12 HMR0.1 VR0.1 12 600 0.998965
HMR0.1_12 HMR0.1 VR0.1 12 700 0.998841
HMR0.1_12 HMR0.1 VR0.1 12 800 0.998665
HMR0.1_12 HMR0.1 VR0.1 12 900 0.998599
HMR0.1_12 HMR0.1 VR0.1 12 1000 0.99849
HMR0.1_12 HMR0.1 VR0.1 12 1100 0.998361
HMR0.1_12 HMR0.1 VR0.1 12 1200 0.998268
HMR0.1_12 HMR0.1 VR0.1 12 1300 0.998169
HMR0.1_12 HMR0.1 VR0.1 12 1400 0.998097
HMR0.1_12 HMR0.1 VR0.1 12 1500 0.998075
HMR0.1_12 HMR0.1 VR0.1 12 1600 0.998025
HMR0.1_12 HMR0.1 VR0.1 12 1700 0.998009
HMR0.1_12 HMR0.1 VR0.1 12 1800 0.998011
HMR0.1_12 HMR0.1 VR0.1 12 1900 0.997842
HMR0.1_12 HMR0.1 VR0.1 12 2000 0.997783
HMR0.1_12 HMR0.1 VR0.1 12 2100 0.997686
HMR0.1_12 HMR0.1 VR0.1 12 2200 0.997577
HMR0.1_12 HMR0.1 VR0.1 12 2300 0.997574
HMR0.1_12 HMR0.1 VR0.1 12 2400 0.997476
HMR0.1_12 HMR0.1 VR0.1 12 2500 0.997371
HMR0.1_12 HMR0.1 VR0.1 12 2600 0.997377
HMR0.1_12 HMR0.1 VR0.1 12 2700 0.99732
HMR0.1_12 HMR0.1 VR0.1 12 2800 0.99725
HMR0.1_12 HMR0.1 VR0.1 12 2900 0.99715
HMR0.1_12 HMR0.1 VR0.1 12 3000 0.997077
HMR0.1_12 HMR0.1 VR0.1 12 3100 0.996992
