uid treatment rep update donate partner
HMR0.1_11 HMR0.1 11 0 -0.00853663 Host
HMR0.1_11 HMR0.1 11 100 0.161936 Host
HMR0.1_11 HMR0.1 11 200 0.243263 Host
HMR0.1_11 HMR0.1 11 300 0.401398 Host
HMR0.1_11 HMR0.1 11 400 0.619721 Host
HMR0.1_11 HMR0.1 11 500 0.772704 Host
HMR0.1_11 HMR0.1 11 600 0.819369 Host
HMR0.1_11 HMR0.1 11 700 0.828376 Host
HMR0.1_11 HMR0.1 11 800 0.826859 Host
HMR0.1_11 HMR0.1 11 900 0.824574 Host
HMR0.1_11 HMR0.1 11 1000 0.830641 Host
HMR0.1_11 HMR0.1 11 1100 0.831423 Host
HMR0.1_11 HMR0.1 11 1200 0.835815 Host
HMR0.1_11 HMR0.1 11 1300 0.840859 Host
HMR0.1_11 HMR0.1 11 1400 0.845032 Host
HMR0.1_11 HMR0.1 11 1500 0.848443 Host
HMR0.1_11 HMR0.1 11 1600 0.848626 Host
HMR0.1_11 HMR0.1 11 1700 0.847139 Host
HMR0.1_11 HMR0.1 11 1800 0.847202 Host
HMR0.1_11 HMR0.1 11 1900 0.847993 Host
HMR0.1_11 HMR0.1 11 2000 0.848575 Host
HMR0.1_11 HMR0.1 11 2100 0.848691 Host
HMR0.1_11 HMR0.1 11 2200 0.853904 Host
HMR0.1_11 HMR0.1 11 2300 0.857405 Host
HMR0.1_11 HMR0.1 11 2400 0.863194 Host
HMR0.1_11 HMR0.1 11 2500 0.867242 Host
HMR0.1_11 HMR0.1 11 2600 0.869628 Host
HMR0.1_11 HMR0.1 11 2700 0.870005 Host
HMR0.1_11 HMR0.1 11 2800 0.86853 Host
HMR0.1_11 HMR0.1 11 2900 0.871653 Host
HMR0.1_11 HMR0.1 11 3000 0.872988 Host
HMR0.1_11 HMR0.1 11 3100 0.871869 Host
HMR0.1_11 HMR0.1 11 3200 0.872086 Host
HMR0.1_11 HMR0.1 11 3300 0.871082 Host
HMR0.1_11 HMR0.1 11 3400 0.874658 Host
HMR0.1_11 HMR0.1 11 3500 0.874018 Host
HMR0.1_11 HMR0.1 11 3600 0.872501 Host
HMR0.1_11 HMR0.1 11 3700 0.869362 Host
