uid HMR VR rep update donate partner
HMR0.1_10 HMR0.1 VR0.1 10 3200 -0.992232 Sym
HMR0.1_10 HMR0.1 VR0.1 10 3300 -0.992186 Sym
HMR0.1_10 HMR0.1 VR0.1 10 3400 -0.992409 Sym
HMR0.1_10 HMR0.1 VR0.1 10 3500 -0.992491 Sym
HMR0.1_10 HMR0.1 VR0.1 10 3600 -0.992794 Sym
HMR0.1_10 HMR0.1 VR0.1 10 3700 -0.992914 Sym
HMR0.1_10 HMR0.1 VR0.1 10 3800 -0.99315 Sym
HMR0.1_10 HMR0.1 VR0.1 10 3900 -0.992979 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4000 -0.993032 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4100 -0.99318 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4200 -0.993257 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4300 -0.993625 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4400 -0.993546 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4500 -0.993614 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4600 -0.993493 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4700 -0.993379 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4800 -0.993548 Sym
HMR0.1_10 HMR0.1 VR0.1 10 4900 -0.993798 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5000 -0.99372 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5100 -0.993799 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5200 -0.993991 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5300 -0.993799 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5400 -0.993976 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5500 -0.994117 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5600 -0.99432 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5700 -0.993964 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5800 -0.993829 Sym
HMR0.1_10 HMR0.1 VR0.1 10 5900 -0.993652 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6000 -0.993889 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6100 -0.993508 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6200 -0.993494 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6300 -0.993415 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6400 -0.993487 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6500 -0.993562 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6600 -0.99341 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6700 -0.99349 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6800 -0.993584 Sym
HMR0.1_10 HMR0.1 VR0.1 10 6900 -0.993787 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7000 -0.993951 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7100 -0.99384 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7200 -0.993799 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7300 -0.994025 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7400 -0.994171 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7500 -0.994067 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7600 -0.993943 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7700 -0.994 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7800 -0.993882 Sym
HMR0.1_10 HMR0.1 VR0.1 10 7900 -0.994183 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8000 -0.994357 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8100 -0.994097 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8200 -0.994133 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8300 -0.994188 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8400 -0.994441 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8500 -0.994535 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8600 -0.994644 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8700 -0.994439 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8800 -0.994463 Sym
HMR0.1_10 HMR0.1 VR0.1 10 8900 -0.99468 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9000 -0.994811 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9100 -0.99461 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9200 -0.994681 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9300 -0.994656 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9400 -0.994767 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9500 -0.994681 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9600 -0.994765 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9700 -0.995079 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9800 -0.995125 Sym
HMR0.1_10 HMR0.1 VR0.1 10 9900 -0.995088 Sym
HMR0.1_10 HMR0.1 VR0.1 10 10000 -0.99503 Sym
HMR0.1_11 HMR0.1 VR0.1 11 0 -0.00853663 Host
HMR0.1_11 HMR0.1 VR0.1 11 100 -0.0172416 Host
HMR0.1_11 HMR0.1 VR0.1 11 200 -0.19149 Host
HMR0.1_11 HMR0.1 VR0.1 11 300 -0.275338 Host
HMR0.1_11 HMR0.1 VR0.1 11 400 -0.321848 Host
HMR0.1_11 HMR0.1 VR0.1 11 500 -0.345887 Host
HMR0.1_11 HMR0.1 VR0.1 11 600 -0.356664 Host
HMR0.1_11 HMR0.1 VR0.1 11 700 -0.367577 Host
HMR0.1_11 HMR0.1 VR0.1 11 800 -0.375053 Host
HMR0.1_11 HMR0.1 VR0.1 11 900 -0.381238 Host
HMR0.1_11 HMR0.1 VR0.1 11 1000 -0.384697 Host
HMR0.1_11 HMR0.1 VR0.1 11 1100 -0.38733 Host
HMR0.1_11 HMR0.1 VR0.1 11 1200 -0.390259 Host
HMR0.1_11 HMR0.1 VR0.1 11 1300 -0.393575 Host
HMR0.1_11 HMR0.1 VR0.1 11 1400 -0.394863 Host
