uid HMR VR rep update efficiency
HMR0.1_12 HMR0.1 VR0.1 12 1300 0.997817
HMR0.1_12 HMR0.1 VR0.1 12 1400 0.997619
HMR0.1_12 HMR0.1 VR0.1 12 1500 0.997513
HMR0.1_12 HMR0.1 VR0.1 12 1600 0.997405
HMR0.1_12 HMR0.1 VR0.1 12 1700 0.997305
HMR0.1_12 HMR0.1 VR0.1 12 1800 0.997212
HMR0.1_12 HMR0.1 VR0.1 12 1900 0.997002
HMR0.1_12 HMR0.1 VR0.1 12 2000 0.996939
HMR0.1_12 HMR0.1 VR0.1 12 2100 0.996707
HMR0.1_12 HMR0.1 VR0.1 12 2200 0.996637
HMR0.1_12 HMR0.1 VR0.1 12 2300 0.996742
HMR0.1_12 HMR0.1 VR0.1 12 2400 0.996584
HMR0.1_12 HMR0.1 VR0.1 12 2500 0.996598
HMR0.1_12 HMR0.1 VR0.1 12 2600 0.996507
HMR0.1_12 HMR0.1 VR0.1 12 2700 0.996211
HMR0.1_12 HMR0.1 VR0.1 12 2800 0.995982
HMR0.1_12 HMR0.1 VR0.1 12 2900 0.995745
HMR0.1_12 HMR0.1 VR0.1 12 3000 0.995803
HMR0.1_12 HMR0.1 VR0.1 12 3100 0.995998
HMR0.1_12 HMR0.1 VR0.1 12 3200 0.995762
HMR0.1_12 HMR0.1 VR0.1 12 3300 0.995461
HMR0.1_12 HMR0.1 VR0.1 12 3400 0.995415
HMR0.1_12 HMR0.1 VR0.1 12 3500 0.995405
HMR0.1_12 HMR0.1 VR0.1 12 3600 0.995515
HMR0.1_12 HMR0.1 VR0.1 12 3700 0.99528
HMR0.1_12 HMR0.1 VR0.1 12 3800 0.995292
HMR0.1_12 HMR0.1 VR0.1 12 3900 0.995298
HMR0.1_12 HMR0.1 VR0.1 12 4000 0.995081
HMR0.1_12 HMR0.1 VR0.1 12 4100 0.994965
HMR0.1_12 HMR0.1 VR0.1 12 4200 0.994875
HMR0.1_12 HMR0.1 VR0.1 12 4300 0.99495
HMR0.1_12 HMR0.1 VR0.1 12 4400 0.994998
HMR0.1_12 HMR0.1 VR0.1 12 4500 0.994923
HMR0.1_12 HMR0.1 VR0.1 12 4600 0.994783
HMR0.1_12 HMR0.1 VR0.1 12 4700 0.994929
HMR0.1_12 HMR0.1 VR0.1 12 4800 0.994986
HMR0.1_12 HMR0.1 VR0.1 12 4900 0.995156
HMR0.1_12 HMR0.1 VR0.1 12 5000 0.995134
HMR0.1_12 HMR0.1 VR0.1 12 5100 0.995016
HMR0.1_12 HMR0.1 VR0.1 12 5200 0.995028
HMR0.1_12 HMR0.1 VR0.1 12 5300 0.9951
HMR0.1_12 HMR0.1 VR0.1 12 5400 0.995187
HMR0.1_12 HMR0.1 VR0.1 12 5500 0.995172
HMR0.1_12 HMR0.1 VR0.1 12 5600 0.995459
HMR0.1_12 HMR0.1 VR0.1 12 5700 0.995543
HMR0.1_12 HMR0.1 VR0.1 12 5800 0.995364
HMR0.1_12 HMR0.1 VR0.1 12 5900 0.995389
HMR0.1_12 HMR0.1 VR0.1 12 6000 0.995232
HMR0.1_12 HMR0.1 VR0.1 12 6100 0.995175
HMR0.1_12 HMR0.1 VR0.1 12 6200 0.995194
HMR0.1_12 HMR0.1 VR0.1 12 6300 0.9952
HMR0.1_12 HMR0.1 VR0.1 12 6400 0.995289
HMR0.1_12 HMR0.1 VR0.1 12 6500 0.995219
HMR0.1_12 HMR0.1 VR0.1 12 6600 0.995032
HMR0.1_12 HMR0.1 VR0.1 12 6700 0.994914
HMR0.1_12 HMR0.1 VR0.1 12 6800 0.9949
HMR0.1_12 HMR0.1 VR0.1 12 6900 0.994884
HMR0.1_12 HMR0.1 VR0.1 12 7000 0.994973
HMR0.1_12 HMR0.1 VR0.1 12 7100 0.994562
HMR0.1_12 HMR0.1 VR0.1 12 7200 0.9944
HMR0.1_12 HMR0.1 VR0.1 12 7300 0.99427
HMR0.1_12 HMR0.1 VR0.1 12 7400 0.994452
HMR0.1_12 HMR0.1 VR0.1 12 7500 0.994209
HMR0.1_12 HMR0.1 VR0.1 12 7600 0.994123
HMR0.1_12 HMR0.1 VR0.1 12 7700 0.994288
HMR0.1_12 HMR0.1 VR0.1 12 7800 0.994353
HMR0.1_12 HMR0.1 VR0.1 12 7900 0.994284
HMR0.1_12 HMR0.1 VR0.1 12 8000 0.994344
HMR0.1_12 HMR0.1 VR0.1 12 8100 0.994541
HMR0.1_12 HMR0.1 VR0.1 12 8200 0.994614
HMR0.1_12 HMR0.1 VR0.1 12 8300 0.994606
HMR0.1_12 HMR0.1 VR0.1 12 8400 0.994593
HMR0.1_12 HMR0.1 VR0.1 12 8500 0.994435
HMR0.1_12 HMR0.1 VR0.1 12 8600 0.994257
HMR0.1_12 HMR0.1 VR0.1 12 8700 0.994483
HMR0.1_12 HMR0.1 VR0.1 12 8800 0.994465
HMR0.1_12 HMR0.1 VR0.1 12 8900 0.994456
HMR0.1_12 HMR0.1 VR0.1 12 9000 0.994526
HMR0.1_12 HMR0.1 VR0.1 12 9100 0.994274
HMR0.1_12 HMR0.1 VR0.1 12 9200 0.994251
HMR0.1_12 HMR0.1 VR0.1 12 9300 0.994176
HMR0.1_12 HMR0.1 VR0.1 12 9400 0.994061
HMR0.1_12 HMR0.1 VR0.1 12 9500 0.993915
HMR0.1_12 HMR0.1 VR0.1 12 9600 0.99395
HMR0.1_12 HMR0.1 VR0.1 12 9700 0.993987
HMR0.1_12 HMR0.1 VR0.1 12 9800 0.993899
HMR0.1_12 HMR0.1 VR0.1 12 9900 0.993866
HMR0.1_12 HMR0.1 VR0.1 12 10000 0.993629
HMR0.1_13 HMR0.1 VR0.1 13 0 1
HMR0.1_13 HMR0.1 VR0.1 13 100 0.999663
HMR0.1_13 HMR0.1 VR0.1 13 200 0.999327
HMR0.1_13 HMR0.1 VR0.1 13 300 0.999063
HMR0.1_13 HMR0.1 VR0.1 13 400 0.998864
HMR0.1_13 HMR0.1 VR0.1 13 500 0.998631
HMR0.1_13 HMR0.1 VR0.1 13 600 0.998469
HMR0.1_13 HMR0.1 VR0.1 13 700 0.998315
HMR0.1_13 HMR0.1 VR0.1 13 800 0.99818
HMR0.1_13 HMR0.1 VR0.1 13 900 0.998091
HMR0.1_13 HMR0.1 VR0.1 13 1000 0.997964
HMR0.1_13 HMR0.1 VR0.1 13 1100 0.997718
HMR0.1_13 HMR0.1 VR0.1 13 1200 0.997523
HMR0.1_13 HMR0.1 VR0.1 13 1300 0.997339
HMR0.1_13 HMR0.1 VR0.1 13 1400 0.99721
HMR0.1_13 HMR0.1 VR0.1 13 1500 0.997029
HMR0.1_13 HMR0.1 VR0.1 13 1600 0.996934
HMR0.1_13 HMR0.1 VR0.1 13 1700 0.996774
HMR0.1_13 HMR0.1 VR0.1 13 1800 0.996512
HMR0.1_13 HMR0.1 VR0.1 13 1900 0.99629
HMR0.1_13 HMR0.1 VR0.1 13 2000 0.996256
HMR0.1_13 HMR0.1 VR0.1 13 2100 0.996272
HMR0.1_13 HMR0.1 VR0.1 13 2200 0.996176
HMR0.1_13 HMR0.1 VR0.1 13 2300 0.995899
HMR0.1_13 HMR0.1 VR0.1 13 2400 0.995984
HMR0.1_13 HMR0.1 VR0.1 13 2500 0.996091
HMR0.1_13 HMR0.1 VR0.1 13 2600 0.996038
HMR0.1_13 HMR0.1 VR0.1 13 2700 0.995987
HMR0.1_13 HMR0.1 VR0.1 13 2800 0.995728
HMR0.1_13 HMR0.1 VR0.1 13 2900 0.995687
HMR0.1_13 HMR0.1 VR0.1 13 3000 0.995741
HMR0.1_13 HMR0.1 VR0.1 13 3100 0.995714
HMR0.1_13 HMR0.1 VR0.1 13 3200 0.995662
HMR0.1_13 HMR0.1 VR0.1 13 3300 0.995875
HMR0.1_13 HMR0.1 VR0.1 13 3400 0.995967
HMR0.1_13 HMR0.1 VR0.1 13 3500 0.995859
HMR0.1_13 HMR0.1 VR0.1 13 3600 0.995756
HMR0.1_13 HMR0.1 VR0.1 13 3700 0.995844
HMR0.1_13 HMR0.1 VR0.1 13 3800 0.995963
HMR0.1_13 HMR0.1 VR0.1 13 3900 0.996245
HMR0.1_13 HMR0.1 VR0.1 13 4000 0.996146
HMR0.1_13 HMR0.1 VR0.1 13 4100 0.996194
HMR0.1_13 HMR0.1 VR0.1 13 4200 0.996344
HMR0.1_13 HMR0.1 VR0.1 13 4300 0.996324
HMR0.1_13 HMR0.1 VR0.1 13 4400 0.995993
HMR0.1_13 HMR0.1 VR0.1 13 4500 0.995959
HMR0.1_13 HMR0.1 VR0.1 13 4600 0.995959
HMR0.1_13 HMR0.1 VR0.1 13 4700 0.995934
HMR0.1_13 HMR0.1 VR0.1 13 4800 0.996056
HMR0.1_13 HMR0.1 VR0.1 13 4900 0.996108
HMR0.1_13 HMR0.1 VR0.1 13 5000 0.996009
HMR0.1_13 HMR0.1 VR0.1 13 5100 0.996059
HMR0.1_13 HMR0.1 VR0.1 13 5200 0.996128
HMR0.1_13 HMR0.1 VR0.1 13 5300 0.996293
HMR0.1_13 HMR0.1 VR0.1 13 5400 0.996271
HMR0.1_13 HMR0.1 VR0.1 13 5500 0.996135
HMR0.1_13 HMR0.1 VR0.1 13 5600 0.996013
HMR0.1_13 HMR0.1 VR0.1 13 5700 0.995756
HMR0.1_13 HMR0.1 VR0.1 13 5800 0.995629
HMR0.1_13 HMR0.1 VR0.1 13 5900 0.995446
HMR0.1_13 HMR0.1 VR0.1 13 6000 0.995346
HMR0.1_13 HMR0.1 VR0.1 13 6100 0.995606
HMR0.1_13 HMR0.1 VR0.1 13 6200 0.995586
HMR0.1_13 HMR0.1 VR0.1 13 6300 0.995448
HMR0.1_13 HMR0.1 VR0.1 13 6400 0.995402
HMR0.1_13 HMR0.1 VR0.1 13 6500 0.99518
HMR0.1_13 HMR0.1 VR0.1 13 6600 0.995405
HMR0.1_13 HMR0.1 VR0.1 13 6700 0.995678
HMR0.1_13 HMR0.1 VR0.1 13 6800 0.995509
HMR0.1_13 HMR0.1 VR0.1 13 6900 0.995456
HMR0.1_13 HMR0.1 VR0.1 13 7000 0.995397
HMR0.1_13 HMR0.1 VR0.1 13 7100 0.995479
HMR0.1_13 HMR0.1 VR0.1 13 7200 0.995282
HMR0.1_13 HMR0.1 VR0.1 13 7300 0.995252
HMR0.1_13 HMR0.1 VR0.1 13 7400 0.995485
HMR0.1_13 HMR0.1 VR0.1 13 7500 0.995724
HMR0.1_13 HMR0.1 VR0.1 13 7600 0.995672
HMR0.1_13 HMR0.1 VR0.1 13 7700 0.995652
HMR0.1_13 HMR0.1 VR0.1 13 7800 0.995615
HMR0.1_13 HMR0.1 VR0.1 13 7900 0.99555
HMR0.1_13 HMR0.1 VR0.1 13 8000 0.995377
HMR0.1_13 HMR0.1 VR0.1 13 8100 0.99527
HMR0.1_13 HMR0.1 VR0.1 13 8200 0.995167
HMR0.1_13 HMR0.1 VR0.1 13 8300 0.995374
HMR0.1_13 HMR0.1 VR0.1 13 8400 0.995174
HMR0.1_13 HMR0.1 VR0.1 13 8500 0.995011
HMR0.1_13 HMR0.1 VR0.1 13 8600 0.994876
HMR0.1_13 HMR0.1 VR0.1 13 8700 0.994841
HMR0.1_13 HMR0.1 VR0.1 13 8800 0.994714
HMR0.1_13 HMR0.1 VR0.1 13 8900 0.994842
HMR0.1_13 HMR0.1 VR0.1 13 9000 0.99501
HMR0.1_13 HMR0.1 VR0.1 13 9100 0.995122
HMR0.1_13 HMR0.1 VR0.1 13 9200 0.995276
HMR0.1_13 HMR0.1 VR0.1 13 9300 0.994994
HMR0.1_13 HMR0.1 VR0.1 13 9400 0.995097
HMR0.1_13 HMR0.1 VR0.1 13 9500 0.995241
HMR0.1_13 HMR0.1 VR0.1 13 9600 0.995225
HMR0.1_13 HMR0.1 VR0.1 13 9700 0.995242
HMR0.1_13 HMR0.1 VR0.1 13 9800 0.995302
HMR0.1_13 HMR0.1 VR0.1 13 9900 0.995306
HMR0.1_13 HMR0.1 VR0.1 13 10000 0.995266
HMR0.1_14 HMR0.1 VR0.1 14 0 1
HMR0.1_14 HMR0.1 VR0.1 14 100 0.999647
HMR0.1_14 HMR0.1 VR0.1 14 200 0.999316
HMR0.1_14 HMR0.1 VR0.1 14 300 0.999003
HMR0.1_14 HMR0.1 VR0.1 14 400 0.998882
HMR0.1_14 HMR0.1 VR0.1 14 500 0.99872
HMR0.1_14 HMR0.1 VR0.1 14 600 0.998567
HMR0.1_14 HMR0.1 VR0.1 14 700 0.998439
HMR0.1_14 HMR0.1 VR0.1 14 800 0.998346
HMR0.1_14 HMR0.1 VR0.1 14 900 0.998179
HMR0.1_14 HMR0.1 VR0.1 14 1000 0.99801
HMR0.1_14 HMR0.1 VR0.1 14 1100 0.997969
HMR0.1_14 HMR0.1 VR0.1 14 1200 0.997875
HMR0.1_14 HMR0.1 VR0.1 14 1300 0.997648
HMR0.1_14 HMR0.1 VR0.1 14 1400 0.997589
HMR0.1_14 HMR0.1 VR0.1 14 1500 0.99759
HMR0.1_14 HMR0.1 VR0.1 14 1600 0.997558
HMR0.1_14 HMR0.1 VR0.1 14 1700 0.997629
HMR0.1_14 HMR0.1 VR0.1 14 1800 0.997546
HMR0.1_14 HMR0.1 VR0.1 14 1900 0.99734
HMR0.1_14 HMR0.1 VR0.1 14 2000 0.997225
HMR0.1_14 HMR0.1 VR0.1 14 2100 0.997225
HMR0.1_14 HMR0.1 VR0.1 14 2200 0.997122
HMR0.1_14 HMR0.1 VR0.1 14 2300 0.996982
HMR0.1_14 HMR0.1 VR0.1 14 2400 0.996821
HMR0.1_14 HMR0.1 VR0.1 14 2500 0.996687
HMR0.1_14 HMR0.1 VR0.1 14 2600 0.996505
HMR0.1_14 HMR0.1 VR0.1 14 2700 0.996606
HMR0.1_14 HMR0.1 VR0.1 14 2800 0.996571
HMR0.1_14 HMR0.1 VR0.1 14 2900 0.996252
HMR0.1_14 HMR0.1 VR0.1 14 3000 0.996118
HMR0.1_14 HMR0.1 VR0.1 14 3100 0.995963
HMR0.1_14 HMR0.1 VR0.1 14 3200 0.995992
HMR0.1_14 HMR0.1 VR0.1 14 3300 0.996028
